Chr	Gene.id	Name	Start	End	Length	SNPs	Tests	SNP.id	SNP.pos	SNP.maf	SNP.qual	K	SSM	BIC	F_stat	R2	N.stop	N.better	Pval
1	1	gene1	0	36	37	41	40.545	NONE	-	-	-	0	0	0	0	-	0	0	-
1	1	gene1	0	36	37	41	40.545	SUMMARY	-	-	-	0	0.0023755	-5.12454	4.75755	-	1	1	1
1	2	gene2	36	49	14	24	23.8658	NONE	-	-	-	0	0	0	0	-	0	0	-
1	2	gene2	36	49	14	24	23.8658	SUMMARY	-	-	-	0	0.00228566	-4.68462	4.57721	-	1	1	1
1	3	gene3	49	75	27	37	36.6613	NONE	-	-	-	0	0	0	0	-	0	0	-
1	3	gene3	49	75	27	37	36.6613	SUMMARY	-	-	-	0	0.00333594	-4.06065	6.68752	-	1	1	1
1	4	gene4	75	104	30	40	39.6315	NONE	-	-	-	0	0	0	0	-	0	0	-
1	4	gene4	75	104	30	40	39.6315	SUMMARY	-	-	-	0	0.00333594	-4.13856	6.68752	-	1	1	1
1	5	gene5	104	141	38	48	47.4088	NONE	-	-	-	0	0	0	0	-	0	0	-
1	5	gene5	104	141	38	48	47.4088	SUMMARY	-	-	-	0	0.0019731	-5.68421	3.95005	-	1	1	1
1	6	gene6	141	173	33	43	42.5436	NONE	-	-	-	0	0	0	0	-	0	0	-
1	6	gene6	141	173	33	43	42.5436	SUMMARY	-	-	-	0	0.00245084	-5.09713	4.90881	-	1	1	1
1	7	gene7	173	208	36	45	44.4775	NONE	-	-	-	0	0	0	0	-	0	0	-
1	7	gene7	173	208	36	45	44.4775	SUMMARY	-	-	-	0	0.00268201	-4.90982	5.37307	-	1	1	1
1	8	gene8	208	242	35	44	43.5312	NONE	-	-	-	0	0	0	0	-	0	0	-
1	8	gene8	208	242	35	44	43.5312	SUMMARY	-	-	-	0	0.00178166	-5.79068	3.56612	-	1	1	1
1	9	gene9	242	273	32	42	41.5826	NONE	-	-	-	0	0	0	0	-	0	0	-
1	9	gene9	242	273	32	42	41.5826	SUMMARY	-	-	-	0	0.00369614	-3.82514	7.41228	-	1	1	1
1	10	gene10	273	313	41	51	50.3311	NONE	-	-	-	0	0	0	0	-	0	0	-
1	10	gene10	273	313	41	51	50.3311	SUMMARY	-	-	-	0	0.00408198	-3.62874	8.18922	-	1	1	1
1	11	gene11	313	346	34	44	43.5201	NONE	-	-	-	0	0	0	0	-	0	0	-
1	11	gene11	313	346	34	44	43.5201	SUMMARY	-	-	-	0	0.00675909	-0.791637	13.5966	-	1	1	1
1	12	gene12	346	363	18	28	27.8193	NONE	-	-	-	0	0	0	0	-	0	0	-
1	12	gene12	346	363	18	28	27.8193	SUMMARY	-	-	-	0	0.00122356	-5.90187	2.44766	-	1	1	1
1	13	gene13	363	393	31	40	39.6287	NONE	-	-	-	0	0	0	0	-	0	0	-
1	13	gene13	363	393	31	40	39.6287	SUMMARY	-	-	-	0	0.0020584	-5.41949	4.12116	-	1	1	1
1	14	gene14	393	417	25	35	34.6955	NONE	-	-	-	0	0	0	0	-	0	0	-
1	14	gene14	393	417	25	35	34.6955	SUMMARY	-	-	-	0	0.00165618	-5.68951	3.31453	-	1	1	1
1	15	gene15	417	455	39	49	48.4069	NONE	-	-	-	0	0	0	0	-	0	0	-
1	15	gene15	417	455	39	49	48.4069	SUMMARY	-	-	-	0	0.00305939	-4.61601	6.13142	-	1	1	1
1	16	gene16	455	487	33	43	42.5566	NONE	-	-	-	0	0	0	0	-	0	0	-
1	16	gene16	455	487	33	43	42.5566	SUMMARY	-	-	-	0	0.0019016	-5.64788	3.80663	-	1	1	1
1	17	gene17	487	526	40	50	49.3673	NONE	-	-	-	0	0	0	0	-	0	0	-
1	17	gene17	487	526	40	50	49.3673	SUMMARY	-	-	-	0	0.00162368	-6.07474	3.24939	-	1	1	1
1	18	gene18	526	541	16	26	25.8533	NONE	-	-	-	0	0	0	0	-	0	0	-
1	18	gene18	526	541	16	26	25.8533	SUMMARY	-	-	-	0	0.00379676	-3.2489	7.61484	-	1	1	1
1	19	gene19	541	574	34	44	43.536	NONE	-	-	-	0	0	0	0	-	0	0	-
1	19	gene19	541	574	34	44	43.536	SUMMARY	-	-	-	0	0.00507425	-2.48687	10.1901	-	1	1	1
1	20	gene20	574	594	21	31	30.7739	NONE	-	-	-	0	0	0	0	-	0	0	-
1	20	gene20	574	594	21	31	30.7739	SUMMARY	-	-	-	0	0.00148259	-5.74343	2.96661	-	1	1	1
1	21	gene21	594	629	36	46	45.4906	NONE	-	-	-	0	0	0	0	-	0	0	-
1	21	gene21	594	629	36	46	45.4906	SUMMARY	-	-	-	0	0.00104581	-6.5716	2.09171	-	1	1	1
1	22	gene22	629	643	15	25	24.8364	NONE	-	-	-	0	0	0	0	-	0	0	-
