Chr	Gene.id	Name	Start	End	Length	SNPs	Tests	Vegas	N.tot	N.better	Pval
1	1	gene1	0	36	37	41	40.545	30.3236	100	90	0.90099
1	2	gene2	36	49	14	23	22.8768	19.8728	100	62	0.623762
1	3	gene3	49	75	27	35	34.6881	43.9491	100	15	0.158416
1	4	gene4	75	104	30	40	39.6315	33.1369	100	74	0.742574
1	5	gene5	104	141	38	48	47.4088	32.1421	100	96	0.960396
1	6	gene6	141	173	33	43	42.5436	49.7552	100	21	0.217822
1	7	gene7	173	208	36	45	44.4775	57.2421	100	12	0.128713
1	8	gene8	208	242	35	43	42.554	31	100	90	0.90099
1	9	gene9	242	273	32	42	41.5826	46.8364	100	27	0.277228
1	10	gene10	273	313	41	50	49.3493	72.3432	115	3	0.0344828
1	11	gene11	313	346	34	43	42.541	94.0255	100000	2	2.99997e-05
1	12	gene12	346	363	18	28	27.8193	17.4443	100	95	0.950495
1	13	gene13	363	393	31	40	39.6287	46.3737	100	22	0.227723
1	14	gene14	393	417	25	35	34.6955	24.566	100	92	0.920792
1	15	gene15	417	455	39	49	48.4069	43.9456	100	65	0.653465
1	16	gene16	455	487	33	43	42.5566	39.5717	100	59	0.594059
1	17	gene17	487	526	40	49	48.3927	28.7634	100	99	0.990099
1	18	gene18	526	541	16	26	25.8533	26.1748	100	50	0.50495
1	19	gene19	541	574	34	44	43.536	45.4348	100	41	0.415842
1	20	gene20	574	594	21	31	30.7739	18.8166	100	95	0.950495
1	21	gene21	594	629	36	46	45.4906	29.8316	100	97	0.970297
1	22	gene22	629	643	15	25	24.8364	24.9615	100	45	0.455446
1	23	gene23	643	671	29	39	38.6443	149.913	100000	0	9.9999e-06
1	24	gene24	671	710	40	49	48.4062	142.952	100000	0	9.9999e-06
1	25	gene25	710	735	26	35	34.6855	36.9094	100	37	0.376238
1	26	gene26	735	769	35	42	41.534	30.4618	100	89	0.891089
1	27	gene27	769	808	40	48	47.4609	62.6496	100	11	0.118812
1	28	gene28	808	833	26	36	35.7092	30.4159	100	73	0.732673
1	29	gene29	833	872	40	49	48.4497	34.784	100	94	0.940594
1	30	gene30	872	908	37	45	44.4893	40.7264	100	64	0.643564
1	31	gene31	908	948	41	50	49.3813	57.0467	100	23	0.237624
1	32	gene32	948	975	28	38	37.6628	47.4224	100	16	0.168317
1	33	gene33	975	986	12	22	21.8849	25.0301	100	28	0.287129
1	34	gene34	986	1000	15	20	19.8953	25.9086	100	19	0.19802
