Chr	Gene.id	Name	Start	End	Length	SNPs	Tests	log10(BF_sum)	N.tot	N.better	Pval
1	1	gene1	0	36	37	41	40.545	1.18688	100	81	0.811881
1	2	gene2	36	49	14	23	22.8768	0.962449	100	63	0.633663
1	3	gene3	49	75	27	35	34.6881	1.31395	100	27	0.277228
1	4	gene4	75	104	30	40	39.6315	1.26121	100	47	0.475248
1	5	gene5	104	141	38	48	47.4088	1.20806	100	94	0.940594
1	6	gene6	141	173	33	43	42.5436	1.33428	100	48	0.485149
1	7	gene7	173	208	36	45	44.4775	1.40967	100	26	0.267327
1	8	gene8	208	242	35	43	42.554	1.14236	100	95	0.950495
1	9	gene9	242	273	32	42	41.5826	1.43795	100	20	0.207921
1	10	gene10	273	313	41	50	49.3493	1.61737	100	14	0.148515
1	11	gene11	313	346	34	43	42.541	2.49954	1527	3	0.0026178
1	12	gene12	346	363	18	28	27.8193	0.955311	100	94	0.940594
1	13	gene13	363	393	31	40	39.6287	1.22623	100	54	0.544554
1	14	gene14	393	417	25	35	34.6955	1.04621	100	96	0.960396
1	15	gene15	417	455	39	49	48.4069	1.31253	100	61	0.613861
1	16	gene16	455	487	33	43	42.5566	1.21735	100	74	0.742574
1	17	gene17	487	526	40	49	48.3927	1.15176	100	99	0.990099
1	18	gene18	526	541	16	26	25.8533	1.16224	100	25	0.257426
1	19	gene19	541	574	34	44	43.536	1.63665	100	6	0.0693069
1	20	gene20	574	594	21	31	30.7739	0.989751	100	95	0.950495
1	21	gene21	594	629	36	46	45.4906	1.20212	100	99	0.990099
1	22	gene22	629	643	15	25	24.8364	1.06715	100	60	0.60396
1	23	gene23	643	671	29	39	38.6443	5.20026	100000	1	1.99998e-05
1	24	gene24	671	710	40	49	48.4062	5.20023	100000	1	1.99998e-05
1	25	gene25	710	735	26	35	34.6855	1.24533	100	39	0.39604
1	26	gene26	735	769	35	42	41.534	1.21659	100	88	0.881188
1	27	gene27	769	808	40	48	47.4609	1.45412	100	28	0.287129
1	28	gene28	808	833	26	36	35.7092	1.21046	100	57	0.574257
1	29	gene29	833	872	40	49	48.4497	1.33087	100	64	0.643564
1	30	gene30	872	908	37	45	44.4893	1.35202	100	49	0.49505
1	31	gene31	908	948	41	50	49.3813	1.4055	100	35	0.356436
1	32	gene32	948	975	28	38	37.6628	1.40243	100	19	0.19802
1	33	gene33	975	986	12	22	21.8849	1.00747	100	31	0.316832
1	34	gene34	986	1000	15	20	19.8953	1.1073	100	15	0.158416
