Chr	Gene.id	Name	Start	End	Length	SNPs	Tests	Gates	Pval
1	1	gene1	0	36	37	41	40.545	1	1
1	2	gene2	36	49	14	24	23.8658	0.759265	0.759265
1	3	gene3	49	75	27	37	36.6613	0.358786	0.358786
1	4	gene4	75	104	30	40	39.6315	0.387899	0.387899
1	5	gene5	104	141	38	48	47.4088	1	1
1	6	gene6	141	173	33	43	42.5436	1	1
1	7	gene7	173	208	36	45	44.4775	0.600395	0.600395
1	8	gene8	208	242	35	44	43.5312	1	1
1	9	gene9	242	273	32	42	41.5826	0.271729	0.271729
1	10	gene10	273	313	41	51	50.3311	0.164966	0.164966
1	11	gene11	313	346	34	44	43.5201	0.0083409	0.0083409
1	12	gene12	346	363	18	28	27.8193	1	1
1	13	gene13	363	393	31	40	39.6287	1	1
1	14	gene14	393	417	25	35	34.6955	1	1
1	15	gene15	417	455	39	49	48.4069	0.649824	0.649824
1	16	gene16	455	487	33	43	42.5566	1	1
1	17	gene17	487	526	40	50	49.3673	1	1
1	18	gene18	526	541	16	26	25.8533	0.150378	0.150378
1	19	gene19	541	574	34	44	43.536	0.0620516	0.0620516
1	20	gene20	574	594	21	31	30.7739	1	1
1	21	gene21	594	629	36	46	45.4906	1	1
1	22	gene22	629	643	15	25	24.8364	0.837405	0.837405
1	23	gene23	643	671	29	39	38.6443	4.61456e-06	4.61456e-06
1	24	gene24	671	710	40	50	49.3854	5.91474e-06	5.91474e-06
1	25	gene25	710	735	26	36	35.6627	0.426412	0.426412
1	26	gene26	735	769	35	44	43.4881	1	1
1	27	gene27	769	808	40	50	49.4099	0.416575	0.416575
1	28	gene28	808	833	26	36	35.7092	0.540861	0.540861
1	29	gene29	833	872	40	49	48.4497	0.395929	0.395929
1	30	gene30	872	908	37	46	45.4643	0.683803	0.683803
1	31	gene31	908	948	41	50	49.3813	0.662848	0.662848
1	32	gene32	948	975	28	38	37.6628	0.136448	0.136448
1	33	gene33	975	986	12	22	21.8849	0.379605	0.379605
1	34	gene34	986	1000	15	20	19.8953	0.18534	0.18534
